1;Προεδρία της Δημοκρατίας;4.636.000;0;4.636.000;;
2;Βουλή των Ελλήνων;159.400.000;1.000.000;160.400.000;;
3;Προεδρία της Κυβέρνησης;38.259.000;5.000.000;43.259.000;;
4;Υπουργεία;1.095.738.683.000;12.161.000.000;1.107.899.683.000;;
5;Υπουργείο Εσωτερικών;3.337.487.000;368.000.000;3.705.487.000;;
6;Υπουργείο Εξωτερικών;384.892.000;23.000.000;407.892.000;;
7;Υπουργείο Εθνικής Άμυνας;6.093.388.000;30.000.000;6.123.388.000;;
8;Υπουργείο Υγείας;5.705.031.000;322.000.000;6.027.031.000;;
9;Υπουργείο Δικαιοσύνης;559.464.000;66.000.000;625.464.000;;
10;Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού;5.452.630.000;1.095.000.000;6.547.630.000;;
11;Υπουργείο Πολιτισμού;258.113.000;142.000.000;400.113.000;;
12;Υπουργείο Εθνικής Οικονομίας και Οικονομικών;1.047.177.798.000;2.720.000.000;1.049.897.798.000;;
13;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;203.694.000;981.000.000;1.184.694.000;;
14;Υπουργείο Περιβάλλοντος και Ενέργειας;295.158.000;1.528.000.000;1.823.158.000;;
15;Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης;18.019.492.000;610.000.000;18.629.492.000;;
16;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;3.718.039.000;274.000.000;3.992.039.000;;
17;Υπουργείο Ανάπτυξης;125.661.000;799.000.000;924.661.000;;
18;Υπουργείο Υποδομών και Μεταφορών;883.117.000;1.467.000.000;2.350.117.000;;
19;Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής;311.280.000;265.000.000;576.280.000;;
20;Υπουργείο Τουρισμού;38.787.000;129.000.000;167.787.000;;
21;Υπουργείο Ψηφιακής Διακυβέρνησης;185.765.000;658.000.000;843.765.000;;
22;Υπουργείο Μετανάστευσης και Ασύλου;124.304.000;349.000.000;473.304.000;;
23;Υπουργείο Προστασίας του Πολίτη;2.184.973.000;78.000.000;2.262.973.000;;
24;"Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας";679.610.000;257.000.000;936.610.000;;
25;Αποκεντρωμένες Διοικήσεις;80.292.000;0;80.292.000;;
26;Αποκεντρωμένη Διοίκηση Αττικής;11.629.000;0;11.629.000;;
27;"Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας";10.659.000;0;10.659.000;;
28;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;9.796.000;0;9.796.000;                                                                                           9.796.000
29;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;15.415.000;0;15.415.000;;
30;Αποκεντρωμένη Διοίκηση Αιγαίου;6.211.000;0;6.211.000;;
31;Αποκεντρωμένη Διοίκηση Κρήτης;6.719.000;0;6.719.000;;
32;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;19.863.000;0;19.863.000;;
33;Σύνολο εξόδων Κρατικού Προϋπολογισμού;1.096.021.270.000;12.167.000.000;1.108.188.270.000;;
