1; ΕΣΟΔΑ;1.107.649.000.000;
1,1;Φόροι;56.597.000.000;
1,2;Κοινωνικές εισφορές;56.000.000;
1,3;Μεταβιβάσεις;7.960.000.000;
1,4;Πωλήσεις αγαθών και υπηρεσιών;5.547.000.000;
1,5;Λοιπά τρέχοντα έσοδα;2.555.000.000;
1,6;Πάγια περιουσιακά στοιχεία;23.000.000;
1,7;Χρεωστικοί τίτλοι;11.000.000;
1,8;Δάνεια;1.004.195.000.000;
1,9;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1.095.000.000;
1,9,1;Υποχρεώσεις από νόμισμα και καταθέσεις;55.000.000;
1,9,2;Χρεωστικοί τίτλοι (υποχρεώσεις);28.205.000.000;
1,9,3;Δάνεια;-;
1,9,4;Χρηματοοικονομικά παράγωγα;1.350.000.000;
2; ΕΞΟΔΑ;1.108.188.270.000;
2,1;Παροχές σε εργαζομένους;14.849.625.000;
2,2;Κοινωνικές παροχές;410.540.000;
2,3;Μεταβιβάσεις;33.228.722.000;
2,4;Αγορές αγαθών και υπηρεσιών;1.792.020.000;
2,5;Επιδοτήσεις;80.600.000;
2,6;Τόκοι;7.701.105.000;
2,7;Λοιπές δαπάνες;111.364.000;
2,8;Πιστώσεις υπό κατανομή;14.835.189.000;
2,9;Πάγια περιουσιακά στοιχεία;2.727.126.000;
2,9,1;Τιμαλφή;81.000;
2,9,2;Δάνεια;2.031.000.000;
2,9,3;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1.557.768.0;
2,9,4;Χρεωστικοί τίτλοι (υποχρεώσεις);26.610.000.000;
2,9,5;Δάνεια;1.002.253.130.000;
3;ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ);-539.270.000;
