1;Προεδρία της Δημοκρατίας;3.766.000;0;3.766.000;
2;Βουλή των Ελλήνων;142.500.000;1.000.000;143.500.000;
3;Προεδρία της Κυβέρνησης;31.251.000;3.000.000;34.251.000;
4;Υπουργεία;792.474.301.000;9.381.000.000;801.855.301.000;
5;Υπουργείο Εσωτερικών;2.814.769.000;172.000.000;2.986.769.000;
6;Υπουργείο Εξωτερικών;274.237.000;14.000.000;288.237.000;
7;Υπουργείο Εθνικής Άμυνας;5.481.900.000;14.000.000;5.495.900.000;
8;Υπουργείο Υγείας;4.196.596.000;60.000.000;4.256.596.000;
9;Υπουργείο Δικαιοσύνης;510.261.000;23.000.000;533.261.000;
10;Υπουργείο Παιδείας και Θρησκευμάτων;4.895.100.000;710.000.000;5.605.100.000;
11;Υπουργείο Πολιτισμού και Αθλητισμού;324.100.000;35.000.000;359.100.000;
12;Υπουργείο Οικονομικών;747.452.497.000;23.000.000;747.475.497.000;
13;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;296.963.000;902.000.000;1.198.963.000;
14;Υπουργείο Περιβάλλοντος και Ενέργειας;92.375.000;670.000.000;762.375.000;
15;Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων;22.269.305.000;420.000.000;22.689.305.000;
17;Υπουργείο Ανάπτυξης και Επενδύσεων;186.196.000;5.115.000.000;5.301.196.000;
18;Υπουργείο Υποδομών και Μεταφορών;717.688.000;867.000.000;1.584.688.000;
19;Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής;268.600.000;140.000.000;408.600.000;
20;Υπουργείο Τουρισμού;36.240.000;21.000.000;57.240.000;
21;Υπουργείο Ψηφιακής Διακυβέρνησης;146.109.000;90.000.000;236.109.000;
22;Υπουργείο Μετανάστευσης και Ασύλου;96.884.000;31.000.000;127.884.000;
23;Υπουργείο Προστασίας του Πολίτη;2.414.481.000;74.000.000;2.488.481.000;
25;Αποκεντρωμένες Διοικήσεις;161.412.000;0;161.412.000;
26;Αποκεντρωμένη Διοίκηση Αττικής;19.247.000;0;19.247.000;
27;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;27.427.000;0;27.427.000;
28;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;18.659.000;0;18.659.000;
29;"Αποκεντρωμένη  Διοίκηση  Πελοποννήσου  -  Δυτικής  Ελλάδας και Ιονίου";33.001.000;0;33.001.000;
30;Αποκεντρωμένη Διοίκηση Αιγαίου;10.462.000;0;10.462.000;
31;Αποκεντρωμένη Διοίκηση Κρήτης;11.160.000;0;11.160.000;
32;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;41.456.000;0;41.456.000;
33;Σύνολο εξόδων Κρατικού Προϋπολογισμού;792.813.230.000;9.385.000.000;802.198.230.000;
