1; ΕΣΟΔΑ;796.625.498.000;
1,1;Φόροι;45.654.498.000;
1,2;Κοινωνικές εισφορές;55.000.000;
1,3;Μεταβιβάσεις;7.376.000.000;
1,4;Πωλήσεις αγαθών και υπηρεσιών;2.092.000.000;
1,5;Λοιπά τρέχοντα έσοδα;1.911.000.000;
1,6;Πάγια περιουσιακά στοιχεία;13.000.000;
1,7;Χρεωστικοί τίτλοι;31.000.000;
1,8;Δάνεια;-;
1,9;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;687.000.000;
1,9,1;Υποχρεώσεις από νόμισμα και καταθέσεις;6.000.000;
1,9,2;Χρεωστικοί τίτλοι (υποχρεώσεις);36.954.000.000;
1,9,3;Δάνεια;701.846.000.000;
1,9,4;Χρηματοοικονομικά παράγωγα;-;
2; ΕΞΟΔΑ;806.740.695.000;
2,1;Παροχές σε εργαζομένους;13.610.168.000;
2,2;Κοινωνικές παροχές;220.643.000;
2,3;Μεταβιβάσεις;30.583.382.000;
2,4;Αγορές αγαθών και υπηρεσιών;1.355.222.000;
2,5;Επιδοτήσεις;80.060.000;
2,6;Τόκοι;4.600.450.000;
2,7;Λοιπές δαπάνες;101.387.000;
2,8;Πιστώσεις υπό κατανομή;13.921.510.000;
2,9;Πάγια περιουσιακά στοιχεία;3.455.707.000;
2,9,1;Τιμαλφή;56.000;
2,9,2;Δάνεια;3.509.500.000;
2,9,3;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1.062.480.000;
2,9,4;Χρεωστικοί τίτλοι (υποχρεώσεις);29.153.000.000;
2,9,5;Δάνεια;»;703.687.130.000;
2,9,6;Χρηματοοικονομικά παράγωγα;1.400.000.000;
ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ);-10.115.197.000;
