1;Προεδρία της Δημοκρατίας;4.462.000;0;4.462.000;
2;Βουλή των Ελλήνων;144.200.000;2.000.000;146.200.000;
3;Προεδρία της Κυβέρνησης;33.144.000;11.000.000;44.144.000;
4;Υπουργεία;795.405.327.000;10.985.590.000;806.390.917.000;
5;Υπουργείο Εσωτερικών;2.928.568.000;310.000.000;3.238.568.000;
6;Υπουργείο Εξωτερικών;254.622.000;14.000.000;268.622.000;
7;Υπουργείο Εθνικής Άμυνας;6.431.600.000;34.000.000;6.465.600.000;
8;Υπουργείο Υγείας;4.341.371.000;315.900.000;4.657.271.000;
9;Υπουργείο Δικαιοσύνης;516.768.000;61.600.000;578.368.000;
10;Υπουργείο Παιδείας και Θρησκευμάτων;4.891.100.000;950.000.000;5.841.100.000;
11;Υπουργείο Πολιτισμού και Αθλητισμού;337.553.000;80.000.000;417.553.000;
12;Υπουργείο Οικονομικών;750.441.665.000;1.135.161.000;751.576.826.000;
13;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;187.436.000;854.000.000;1.041.436.000;
14;Υπουργείο Περιβάλλοντος και Ενέργειας;195.581.000;1.220.000.000;1.415.581.000;
15;Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων;20.892.496.000;720.000.000;21.612.496.000;
16;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;-;
17;Υπουργείο Ανάπτυξης και Επενδύσεων;146.720.000;2.780.000.000;2.926.720.000;
18;Υπουργείο Υποδομών και Μεταφορών;756.210.000;1.290.000.000;2.046.210.000;
19;Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής;276.427.000;175.000.000;451.427.000;
20;Υπουργείο Τουρισμού;39.485.000;45.000.000;84.485.000;
21;Υπουργείο Ψηφιακής Διακυβέρνησης;240.578.000;714.000.000;954.578.000;
22;Υπουργείο Μετανάστευσης και Ασύλου;92.713.000;150.929.000;243.642.000;
23;Υπουργείο Προστασίας του Πολίτη;1.900.413.000;75.000.000;1.975.413.000;
24;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;534.021.000;61.000.000;595.021.000;
25;Αποκεντρωμένες Διοικήσεις;154.972.000;0;154.972.000;
26;Αποκεντρωμένη Διοίκηση Αττικής;17.492.000;0;17.492.000;
27;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;26.386.000;0;26.386.000;
28;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;18.447.000;0;18.447.000;
29;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;31.786.000;0;31.786.000;
30;Αποκεντρωμένη Διοίκηση Αιγαίου;10.462.000;0;10.462.000;
31;Αποκεντρωμένη Διοίκηση Κρήτης;10.844.000;0;10.844.000;
32;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;39.555.000;0;39.555.000;
33;Σύνολο εξόδων Κρατικού Προϋπολογισμού;795.742.105.000;10.998.590.000;806.740.695.000;
